"playerID","yearID","teamID","lgID","G","AB","R","H","2B","3B","HR","RBI","SB","SBp","BB","SO","IBB","HBP","GIDP","SH","SF","OBP","SLG","BA","Kp","BBp","RBIp","GIDPp","Rp","SBr"
"gilkebe01",1995,"SLN","NL",121,480,73,143,33,4,17,69,12,0.6667,42,70,3,5,17,1,3,0.3584905660377358,0.4896,0.2979,0.1318267419962335,0.07909604519774012,0.1438,0.035416666666666666,0.1521,0.06818181818181818
"girarjo01",1995,"COL","NL",125,462,63,121,17,2,8,55,3,0.5000,29,76,0,2,15,12,1,0.3076923076923077,0.3593,0.2619,0.15019762845849802,0.05731225296442688,0.1190,0.032467532467532464,0.1364,0.020833333333333332
"gomezch02",1995,"DET","AL",123,431,49,96,20,2,11,50,4,0.8000,41,96,0,3,13,3,4,0.29227557411273486,0.3550,0.2227,0.1991701244813278,0.08506224066390042,0.1160,0.030162412993039442,0.1137,0.031007751937984496
"gonzaal01",1995,"TOR","AL",111,367,51,89,19,4,10,42,4,0.5000,44,114,1,1,7,9,4,0.32211538461538464,0.3978,0.2425,0.26823529411764707,0.10352941176470588,0.1144,0.01907356948228883,0.1390,0.032
"gonzaju03",1995,"TEX","AL",90,352,57,104,20,2,27,82,0,NULL,17,66,3,0,15,0,5,0.3235294117647059,0.5938,0.2955,0.17647058823529413,0.045454545454545456,0.2330,0.04261363636363636,0.1619,0
"goodwcu01",1995,"BAL","AL",87,289,40,76,11,3,1,24,22,0.8462,15,53,0,2,5,7,3,0.30097087378640774,0.3322,0.2630,0.16772151898734178,0.04746835443037975,0.0830,0.01730103806228374,0.1384,0.2391304347826087
"goodwto01",1995,"KCA","AL",133,480,72,138,16,3,4,28,50,0.7353,38,72,0,5,7,14,0,0.34608030592734224,0.3583,0.2875,0.1340782122905028,0.07076350093109869,0.0583,0.014583333333333334,0.1500,0.2824858757062147
"gracema01",1995,"CHN","NL",143,552,97,180,51,3,16,92,6,0.7500,65,46,9,2,10,1,7,0.39456869009584666,0.5163,0.3261,0.0733652312599681,0.10366826156299841,0.1667,0.018115942028985508,0.1757,0.025
"greenmi01",1995,"BOS","AL",120,481,67,143,25,4,15,76,9,0.6429,38,35,4,2,18,0,4,0.3485714285714286,0.4595,0.2973,0.06666666666666667,0.07238095238095238,0.1580,0.037422037422037424,0.1393,0.05232558139534884
"greensh01",1995,"TOR","AL",121,379,52,109,31,4,15,54,1,0.3333,20,68,3,3,4,0,3,0.32592592592592595,0.5092,0.2876,0.16790123456790124,0.04938271604938271,0.1425,0.010554089709762533,0.1372,0.008333333333333333
"greerru01",1995,"TEX","AL",131,417,58,113,21,2,13,61,3,0.7500,55,66,1,1,9,2,3,0.3550420168067227,0.4245,0.2710,0.13807531380753138,0.11506276150627615,0.1463,0.02158273381294964,0.1391,0.01910828025477707
"grissma02",1995,"ATL","NL",139,551,80,142,23,3,12,42,29,0.7632,47,61,4,3,8,1,4,0.31735537190082647,0.3757,0.2577,0.10066006600660066,0.07755775577557755,0.0762,0.014519056261343012,0.1452,0.15760869565217392
"guilloz01",1995,"CHA","AL",122,415,50,103,20,3,1,41,6,0.4615,13,25,1,0,11,4,1,0.2703962703962704,0.3181,0.2482,0.057736720554272515,0.03002309468822171,0.0988,0.02650602409638554,0.1205,0.05172413793103448
"gwynnto01",1995,"SDN","NL",135,535,82,197,33,1,9,90,17,0.7727,35,15,10,1,20,0,6,0.4038128249566724,0.4841,0.3682,0.025996533795493933,0.060658578856152515,0.1682,0.037383177570093455,0.1533,0.07264957264957266
"hamilda02",1995,"ML4","AL",112,398,54,108,20,6,5,44,11,0.9167,47,35,3,3,9,8,3,0.35033259423503327,0.3894,0.2714,0.07625272331154684,0.10239651416122005,0.1106,0.022613065326633167,0.1357,0.07051282051282051
"hanseda01",1995,"LAN","NL",100,181,19,52,10,0,1,14,0,NULL,28,28,4,1,4,0,1,0.38388625592417064,0.3591,0.2873,0.13270142180094788,0.13270142180094788,0.0773,0.022099447513812154,0.1050,0
"harrile01",1995,"CIN","NL",101,197,32,41,8,3,2,16,10,0.9091,14,20,0,0,6,3,1,0.25943396226415094,0.3096,0.2081,0.09302325581395349,0.06511627906976744,0.0812,0.030456852791878174,0.1624,0.18867924528301888
"hayesch01",1995,"PHI","NL",141,529,58,146,30,3,11,85,5,0.8333,50,88,2,4,22,0,6,0.3395585738539898,0.4064,0.2760,0.1494057724957555,0.08488964346349745,0.1607,0.04158790170132325,0.1096,0.02617801047120419
"henderi01",1995,"OAK","AL",112,407,67,122,31,1,9,54,32,0.7619,72,66,2,4,8,1,3,0.4074074074074074,0.4472,0.2998,0.13552361396303902,0.14784394250513347,0.1327,0.019656019656019656,0.1646,0.16753926701570682
"hernajo01",1995,"CHN","NL",93,245,37,60,11,4,13,40,1,1.0000,13,69,3,0,8,8,2,0.28076923076923077,0.4816,0.2449,0.2574626865671642,0.048507462686567165,0.1633,0.0326530612244898,0.1510,0.015873015873015872
"higgibo02",1995,"DET","AL",131,410,61,92,17,5,14,43,6,0.6000,62,107,3,5,5,2,7,0.3285123966942149,0.3927,0.2244,0.22016460905349794,0.12757201646090535,0.1049,0.012195121951219513,0.1488,0.04054054054054054
"hillgl01",1995,"SFN","NL",132,497,71,131,29,4,24,86,25,0.8333,39,98,4,1,11,0,2,0.3172541743970315,0.4829,0.2636,0.18181818181818182,0.07235621521335807,0.1730,0.022132796780684104,0.1429,0.16556291390728478
"hoilech01",1995,"BAL","AL",114,352,53,88,15,1,19,58,1,1.0000,67,80,3,4,11,0,3,0.3732394366197183,0.4602,0.2500,0.18779342723004694,0.1572769953051643,0.1648,0.03125,0.1506,0.006993006993006993
"howarda02",1995,"KCA","AL",95,255,23,62,13,4,0,19,6,0.8571,24,41,1,1,7,6,1,0.3096085409252669,0.3255,0.2431,0.14285714285714285,0.08362369337979095,0.0745,0.027450980392156862,0.0902,0.06818181818181818
